7jk7gqyEonmVVYahZN5zhW,Circus,"Britney Spears",https://open.spotify.com/track/7jk7gqyEonmVVYahZN5zhW,spotify:track:7jk7gqyEonmVVYahZN5zhW
3xIMkM5LgbVDkpO74O3Np3,Rush,"Troye Sivan",https://open.spotify.com/track/3xIMkM5LgbVDkpO74O3Np3,spotify:track:3xIMkM5LgbVDkpO74O3Np3
5Eh1nj7IjV9lwpcKAkidyY,"One Of Your Girls","Troye Sivan",https://open.spotify.com/track/5Eh1nj7IjV9lwpcKAkidyY,spotify:track:5Eh1nj7IjV9lwpcKAkidyY
5D34wRmbFS29AjtTOP2QJe,"yes, and?","Ariana Grande",https://open.spotify.com/track/5D34wRmbFS29AjtTOP2QJe,spotify:track:5D34wRmbFS29AjtTOP2QJe
6ic8OlLUNEATToEFU3xmaH,"Gimme More","Britney Spears",https://open.spotify.com/track/6ic8OlLUNEATToEFU3xmaH,spotify:track:6ic8OlLUNEATToEFU3xmaH
2ENexcMEMsYk0rVJigVD3i,"Only Girl (In The World)",Rihanna,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,spotify:track:2ENexcMEMsYk0rVJigVD3i
3hlksXnvbKogFdPbpO9vel,"Super Bass","Nicki Minaj",https://open.spotify.com/track/3hlksXnvbKogFdPbpO9vel,spotify:track:3hlksXnvbKogFdPbpO9vel
0ByMNEPAPpOR5H69DVrTNy,"Don't Stop The Music",Rihanna,https://open.spotify.com/track/0ByMNEPAPpOR5H69DVrTNy,spotify:track:0ByMNEPAPpOR5H69DVrTNy
3nqQXoyQOWXiESFLlDF1hG,"Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG
6dK1HEHZcQlh24bSU7pTaZ,"Mundian to Bach Ke","Panjabi MC",https://open.spotify.com/track/6dK1HEHZcQlh24bSU7pTaZ,spotify:track:6dK1HEHZcQlh24bSU7pTaZ
7ySUcLPVX7KudhnmNcgY2D,S&M,Rihanna,https://open.spotify.com/track/7ySUcLPVX7KudhnmNcgY2D,spotify:track:7ySUcLPVX7KudhnmNcgY2D
60jzFy6Nn4M0iD1d94oteF,"Rude Boy",Rihanna,https://open.spotify.com/track/60jzFy6Nn4M0iD1d94oteF,spotify:track:60jzFy6Nn4M0iD1d94oteF
11mwFrKvLXCbcVGNxffGyP,"Genie In a Bottle","Christina Aguilera",https://open.spotify.com/track/11mwFrKvLXCbcVGNxffGyP,spotify:track:11mwFrKvLXCbcVGNxffGyP
